Kanton,Bezirk,Gemeinde,Afrika,Asien,EFTA-Staaten,Lateinamerika und Karibik,Nordamerika,Ohne Angabe,Ozeanien,Staatenlos,Ã¯Â¿Â½briges Europa (Europa ohne EU und EFTA)
Aargau,Bezirk Baden,Turgi,38,98,0,31,5,5,0,0,313
Aargau,Bezirk Baden,Untersiggenthal,87,167,4,30,17,2,2,0,618
Aargau,Bezirk Baden,Wettingen,102,439,7,125,32,4,7,0,1507
Aargau,Bezirk Baden,Wohlenschwil,4,33,0,2,6,0,0,0,44
Aargau,Bezirk Baden,WÃ¯Â¿Â½renlingen,7,69,0,12,15,0,0,0,433
Aargau,Bezirk Baden,WÃ¯Â¿Â½renlos,18,98,2,27,5,0,2,0,243
Aargau,Bezirk Baden,Ehrendingen,17,56,0,26,7,0,4,0,124
Aargau,Bezirk Bremgarten,Arni (AG),6,24,0,9,4,0,0,0,34
Aargau,Bezirk Bremgarten,Berikon,23,52,0,31,6,0,2,0,165
Aargau,Bezirk Bremgarten,Bremgarten (AG),19,168,0,39,6,0,1,0,444
Aargau,Bezirk Bremgarten,BÃ¯Â¿Â½ttikon,4,11,0,4,1,0,0,0,42
Aargau,Bezirk Bremgarten,Dottikon,37,75,0,25,1,1,0,0,452
Aargau,Bezirk Bremgarten,Eggenwil,1,16,0,5,1,0,0,0,44
Aargau,Bezirk Bremgarten,Fischbach-GÃ¯Â¿Â½slikon,2,11,0,3,1,0,0,0,67
Aargau,Bezirk Bremgarten,HÃ¯Â¿Â½gglingen,3,21,1,3,2,2,0,0,85
Aargau,Bezirk Bremgarten,Jonen,5,25,3,6,2,0,1,0,43
Aargau,Bezirk Bremgarten,Niederwil (AG),5,28,0,2,2,0,0,0,124
Aargau,Bezirk Bremgarten,Oberlunkhofen,0,22,0,3,2,0,0,0,34
Aargau,Bezirk Bremgarten,Oberwil-Lieli,2,10,2,12,5,0,0,0,38
Aargau,Bezirk Bremgarten,Rudolfstetten-Friedlisberg,17,52,2,20,2,0,2,2,317
Aargau,Bezirk Bremgarten,Sarmenstorf,7,33,0,5,1,0,0,0,77
Aargau,Bezirk Bremgarten,TÃ¯Â¿Â½gerig,7,15,1,4,0,3,0,0,38
Aargau,Bezirk Bremgarten,Uezwil,1,0,0,0,0,0,0,0,9
Aargau,Bezirk Bremgarten,Unterlunkhofen,5,7,1,2,0,0,0,0,16
Aargau,Bezirk Bremgarten,Villmergen,108,118,2,21,8,1,0,0,766
Aargau,Bezirk Bremgarten,Widen,8,42,7,14,4,2,1,1,75
Aargau,Bezirk Bremgarten,Wohlen (AG),178,390,8,104,7,3,3,0,2140
Aargau,Bezirk Bremgarten,Zufikon,11,25,1,22,3,0,1,0,238
Aargau,Bezirk Bremgarten,Islisberg,0,11,0,2,0,0,0,0,4
Aargau,Bezirk Brugg,Auenstein,4,10,0,5,1,0,1,0,11
Aargau,Bezirk Brugg,Birr,37,114,2,18,6,1,1,0,913
Aargau,Bezirk Brugg,Birrhard,0,13,0,0,2,0,0,0,26
Aargau,Bezirk Brugg,Brugg,117,406,7,83,25,4,2,2,1215
Aargau,Bezirk Brugg,Habsburg,1,0,0,0,0,0,0,0,1
Aargau,Bezirk Brugg,Hausen (AG),13,53,6,12,2,0,0,0,271
Aargau,Bezirk Brugg,Lupfig,16,26,1,2,0,0,0,0,168
Aargau,Bezirk Brugg,Mandach,0,2,0,1,0,0,0,0,1
Aargau,Bezirk Brugg,MÃ¯Â¿Â½nthal,3,0,0,0,0,0,0,0,3
Aargau,Bezirk Brugg,MÃ¯Â¿Â½lligen,3,10,0,5,1,0,1,0,38
Aargau,Bezirk Brugg,Remigen,2,10,0,1,2,0,0,0,23
Aargau,Bezirk Brugg,Riniken,2,28,1,9,5,0,0,0,71
Aargau,Bezirk Brugg,RÃ¯Â¿Â½fenach,5,1,1,0,4,0,0,0,0
Aargau,Bezirk Brugg,Thalheim (AG),0,1,1,3,0,0,1,0,5
Aargau,Bezirk Brugg,Veltheim (AG),6,24,0,3,0,0,1,0,53
Aargau,Bezirk Brugg,Villigen,13,54,0,7,1,0,0,0,106
Aargau,Bezirk Brugg,Villnachern,6,15,0,6,1,2,0,0,54
Aargau,Bezirk Brugg,Windisch,31,168,3,46,10,4,4,1,804
Aargau,Bezirk Brugg,BÃ¯Â¿Â½zberg,2,5,1,7,5,0,0,0,13
Aargau,Bezirk Brugg,Schinznach,15,20,0,1,0,0,1,0,39
Aargau,Bezirk Kulm,Beinwil am See,22,35,3,5,0,0,0,0,101
Aargau,Bezirk Kulm,Birrwil,0,2,0,1,4,0,0,0,38
Aargau,Bezirk Kulm,Burg (AG),18,11,0,3,0,0,1,0,127
Aargau,Bezirk Kulm,DÃ¯Â¿Â½rrenÃ¯Â¿Â½sch,8,12,0,0,0,0,3,0,27
Aargau,Bezirk Kulm,Gontenschwil,23,16,0,12,0,0,0,0,131
Aargau,Bezirk Kulm,Holziken,12,13,0,4,0,0,0,0,67
Aargau,Bezirk Kulm,Leimbach (AG),1,4,0,1,0,0,0,0,19
Aargau,Bezirk Kulm,Leutwil,2,0,0,2,0,0,0,0,9
Aargau,Bezirk Kulm,Menziken,100,115,0,19,9,1,1,0,1120
Aargau,Bezirk Kulm,Oberkulm,45,11,0,6,1,0,0,0,311
Aargau,Bezirk Kulm,Reinach (AG),112,95,2,43,4,4,0,0,1949
Aargau,Bezirk Kulm,Schlossrued,9,3,0,0,0,0,0,0,8
Aargau,Bezirk Kulm,Schmiedrued,1,11,0,1,0,0,0,0,23
Aargau,Bezirk Kulm,SchÃ¯Â¿Â½ftland,16,30,0,10,0,0,1,0,222
Aargau,Bezirk Kulm,Teufenthal (AG),30,25,0,7,1,0,0,0,133
Aargau,Bezirk Kulm,Unterkulm,104,38,0,9,0,4,2,0,497
Aargau,Bezirk Kulm,Zetzwil,12,17,0,2,1,0,0,0,42
Aargau,Bezirk Laufenburg,Eiken,3,25,0,8,0,0,0,0,125
Aargau,Bezirk Laufenburg,Frick,123,113,3,18,1,0,0,0,509
Aargau,Bezirk Laufenburg,Gansingen,5,9,1,1,0,1,0,0,4
Aargau,Bezirk Laufenburg,Gipf-Oberfrick,8,29,0,11,8,0,1,0,92
Aargau,Bezirk Laufenburg,Herznach,9,10,0,3,0,1,1,0,73
Aargau,Bezirk Laufenburg,Kaisten,5,39,2,6,1,0,0,0,97
Aargau,Bezirk Laufenburg,Laufenburg,51,60,5,17,0,0,4,0,201
Aargau,Bezirk Laufenburg,MÃ¯Â¿Â½nchwilen (AG),0,18,0,2,3,0,0,0,45
Aargau,Bezirk Laufenburg,Oberhof,18,3,0,1,0,0,0,0,0
Aargau,Bezirk Laufenburg,Oeschgen,0,6,0,3,0,0,0,0,14
Aargau,Bezirk Laufenburg,Schwaderloch,0,10,0,1,0,0,0,0,34
Aargau,Bezirk Laufenburg,Sisseln,0,21,2,3,2,0,0,0,67
Aargau,Bezirk Laufenburg,Ueken,3,9,0,0,2,0,0,0,37
Aargau,Bezirk Laufenburg,Wittnau,3,6,1,1,0,0,0,0,30
Aargau,Bezirk Laufenburg,WÃ¯Â¿Â½lflinswil,0,8,1,1,0,4,0,0,10
Aargau,Bezirk Laufenburg,Zeihen,4,8,1,2,1,0,0,0,32
Aargau,Bezirk Laufenburg,Mettauertal,8,15,1,4,0,0,0,0,38
Aargau,Bezirk Laufenburg,BÃ¯Â¿Â½ztal,7,20,1,4,1,1,0,0,102
Aargau,Bezirk Lenzburg,Ammerswil,0,6,0,0,0,0,1,0,10
Aargau,Bezirk Lenzburg,Boniswil,4,11,0,3,0,0,0,0,39
Aargau,Bezirk Lenzburg,Brunegg,4,5,0,3,1,0,0,0,54
Aargau,Bezirk Lenzburg,Dintikon,0,52,0,3,1,0,1,0,176
Aargau,Bezirk Lenzburg,Egliswil,1,22,0,1,0,0,2,0,51
Aargau,Bezirk Lenzburg,Fahrwangen,8,38,0,6,0,0,2,0,128
Aargau,Bezirk Lenzburg,Hallwil,16,5,0,1,1,0,0,0,38
Aargau,Bezirk Lenzburg,Hendschiken,8,19,0,8,1,2,0,0,42
Aargau,Bezirk Lenzburg,Holderbank (AG),2,21,0,6,1,0,2,0,176
Aargau,Bezirk Lenzburg,Hunzenschwil,30,63,5,11,2,0,1,0,456
Aargau,Bezirk Lenzburg,Lenzburg,183,305,3,50,16,0,4,1,718
Aargau,Bezirk Lenzburg,Meisterschwanden,4,18,0,6,4,0,0,0,66
Aargau,Bezirk Lenzburg,MÃ¯Â¿Â½riken-Wildegg,44,78,2,8,6,0,0,0,281
Aargau,Bezirk Lenzburg,Niederlenz,51,120,1,18,3,0,0,0,495
Aargau,Bezirk Lenzburg,Othmarsingen,27,56,0,9,2,0,2,0,200
Aargau,Bezirk Lenzburg,Rupperswil,66,78,0,14,3,0,1,0,339
Aargau,Bezirk Lenzburg,Schafisheim,16,26,0,6,3,0,1,0,144
Aargau,Bezirk Lenzburg,Seengen,3,45,2,2,1,0,0,0,107
Aargau,Bezirk Lenzburg,Seon,39,98,1,11,1,0,0,0,464
Aargau,Bezirk Lenzburg,Staufen,16,50,0,4,3,0,0,0,139
Aargau,Bezirk Muri,Abtwil,0,10,0,4,0,0,0,0,15
Aargau,Bezirk Muri,Aristau,0,20,0,4,2,0,0,0,49
Aargau,Bezirk Muri,Auw,6,16,0,6,3,1,1,0,52
Aargau,Bezirk Muri,Beinwil (Freiamt),2,13,0,2,0,0,0,0,4
Aargau,Bezirk Muri,BesenbÃ¯Â¿Â½ren,0,4,0,0,0,0,0,0,2
Aargau,Bezirk Muri,Bettwil,0,0,0,0,1,0,0,0,5
Aargau,Bezirk Muri,Boswil,9,35,1,9,2,0,0,0,124
Aargau,Bezirk Muri,BÃ¯Â¿Â½nzen,10,12,0,2,0,0,0,0,11
Aargau,Bezirk Muri,Buttwil,0,13,0,2,0,0,0,0,17
Aargau,Bezirk Muri,Dietwil,9,4,2,3,1,0,0,0,22
Aargau,Bezirk Muri,Geltwil,0,3,0,0,0,0,0,0,1
Aargau,Bezirk Muri,Kallern,0,6,0,4,1,0,0,0,4
Aargau,Bezirk Muri,Merenschwand,4,25,1,5,8,0,1,0,239
Aargau,Bezirk Muri,MÃ¯Â¿Â½hlau,3,4,0,1,0,0,1,0,63
Aargau,Bezirk Muri,Muri (AG),24,111,4,30,4,0,0,0,638
Aargau,Bezirk Muri,OberrÃ¯Â¿Â½ti,1,15,0,3,1,0,1,0,30
Aargau,Bezirk Muri,Rottenschwil,6,13,0,0,1,0,0,0,27
Aargau,Bezirk Muri,Sins,3,82,0,10,3,0,0,0,260
Aargau,Bezirk Muri,Waltenschwil,0,21,0,6,0,0,0,0,79
Aargau,Bezirk Rheinfelden,Hellikon,0,1,0,3,1,0,0,0,4
Aargau,Bezirk Rheinfelden,Kaiseraugst,27,70,0,23,10,1,0,0,404
Aargau,Bezirk Rheinfelden,Magden,13,27,4,6,3,1,4,0,73
Aargau,Bezirk Rheinfelden,MÃ¯Â¿Â½hlin,73,141,4,34,8,2,2,2,600
Aargau,Bezirk Rheinfelden,Mumpf,4,20,0,2,1,0,0,0,106
Aargau,Bezirk Rheinfelden,Obermumpf,2,3,0,2,1,0,0,0,14
Aargau,Bezirk Rheinfelden,Olsberg,0,1,0,0,0,0,0,0,1
Aargau,Bezirk Rheinfelden,Rheinfelden,89,249,5,66,20,2,4,0,912
Aargau,Bezirk Rheinfelden,Schupfart,5,7,0,0,0,0,0,0,14
Aargau,Bezirk Rheinfelden,Stein (AG),40,60,1,9,10,0,1,0,357
Aargau,Bezirk Rheinfelden,Wallbach,1,11,0,3,1,0,0,0,18
Aargau,Bezirk Rheinfelden,Wegenstetten,1,4,0,5,0,0,0,0,39
Aargau,Bezirk Rheinfelden,Zeiningen,0,14,2,2,1,0,0,0,63
Aargau,Bezirk Rheinfelden,Zuzgen,3,11,0,0,1,2,0,0,17
Aargau,Bezirk Zofingen,Aarburg,206,189,0,38,5,1,0,3,1281
Aargau,Bezirk Zofingen,Bottenwil,1,9,0,1,1,0,0,0,2
Aargau,Bezirk Zofingen,Brittnau,25,35,1,5,4,0,2,0,46
Aargau,Bezirk Zofingen,Kirchleerau,0,7,0,2,0,0,0,0,10
Aargau,Bezirk Zofingen,KÃ¯Â¿Â½lliken,27,77,2,11,0,0,0,0,305
Aargau,Bezirk Zofingen,Moosleerau,0,10,0,0,0,0,0,0,35
Aargau,Bezirk Zofingen,Murgenthal,3,47,0,5,0,0,0,0,188
Aargau,Bezirk Zofingen,Oftringen,90,197,2,61,1,0,2,0,2191
Aargau,Bezirk Zofingen,Reitnau,10,4,0,2,0,0,0,0,35
Aargau,Bezirk Zofingen,Rothrist,83,110,1,36,5,1,4,0,703
Aargau,Bezirk Zofingen,Safenwil,75,77,0,8,3,2,0,0,294
Aargau,Bezirk Zofingen,Staffelbach,1,9,1,3,0,0,0,0,17
Aargau,Bezirk Zofingen,Strengelbach,70,64,2,22,2,0,1,0,300
Aargau,Bezirk Zofingen,Uerkheim,5,10,0,0,0,0,0,0,13
Aargau,Bezirk Zofingen,Vordemwald,1,21,0,5,0,0,0,0,12
Aargau,Bezirk Zofingen,Wiliberg,0,0,0,0,0,0,0,0,0
Aargau,Bezirk Zofingen,Zofingen,103,177,0,52,17,3,0,5,536
Aargau,Bezirk Zurzach,BÃ¯Â¿Â½ttstein,42,58,0,10,3,1,0,0,671
Aargau,Bezirk Zurzach,DÃ¯Â¿Â½ttingen,34,69,1,21,1,1,0,5,582
Aargau,Bezirk Zurzach,Endingen,28,15,0,6,2,0,1,0,112
Aargau,Bezirk Zurzach,Fisibach,0,9,2,6,0,0,0,0,4
Aargau,Bezirk Zurzach,Full-Reuenthal,2,5,0,4,3,0,0,0,13
Aargau,Bezirk Zurzach,Klingnau,21,50,0,9,1,0,1,0,274
Aargau,Bezirk Zurzach,Koblenz,11,18,1,9,3,0,2,0,218
Aargau,Bezirk Zurzach,Leibstadt,10,15,0,2,0,0,1,0,181
Aargau,Bezirk Zurzach,Lengnau (AG),12,22,1,9,3,1,1,0,119
Aargau,Bezirk Zurzach,Leuggern,5,22,0,1,1,1,0,0,90
Aargau,Bezirk Zurzach,Mellikon,0,4,0,1,0,0,1,0,0
Aargau,Bezirk Zurzach,Schneisingen,1,6,0,4,0,0,1,0,21
Aargau,Bezirk Zurzach,Siglistorf,6,7,0,1,1,0,0,0,19
Aargau,Bezirk Zurzach,Tegerfelden,15,7,0,1,1,0,0,0,28
Aargau,Bezirk Zurzach,Zurzach,59,153,1,19,6,1,0,0,633
Appenzell Ausserrhoden,Bezirk Hinterland,Herisau,236,344,4,58,2,3,0,0,893
Appenzell Ausserrhoden,Bezirk Hinterland,Hundwil,4,2,0,1,1,0,0,0,13
Appenzell Ausserrhoden,Bezirk Hinterland,SchÃ¯Â¿Â½nengrund,0,2,0,0,0,0,0,0,1
Appenzell Ausserrhoden,Bezirk Hinterland,Schwellbrunn,7,5,0,1,1,0,0,0,15
Appenzell Ausserrhoden,Bezirk Hinterland,Stein (AR),2,9,0,1,1,0,0,0,8
Appenzell Ausserrhoden,Bezirk Hinterland,UrnÃ¯Â¿Â½sch,9,16,0,0,2,0,1,0,59
Appenzell Ausserrhoden,Bezirk Hinterland,Waldstatt,3,20,0,3,0,0,0,0,53
Appenzell Ausserrhoden,Bezirk Mittelland,BÃ¯Â¿Â½hler,6,30,1,6,1,0,0,0,159
Appenzell Ausserrhoden,Bezirk Mittelland,Gais,23,23,3,4,3,0,0,0,45
Appenzell Ausserrhoden,Bezirk Mittelland,Speicher,38,47,1,5,7,0,0,0,73
Appenzell Ausserrhoden,Bezirk Mittelland,Teufen (AR),35,60,4,14,9,0,0,0,100
Appenzell Ausserrhoden,Bezirk Mittelland,Trogen,21,31,0,1,1,0,0,0,12
Appenzell Ausserrhoden,Bezirk Vorderland,Grub (AR),9,16,2,2,0,0,0,0,14
Appenzell Ausserrhoden,Bezirk Vorderland,Heiden,30,69,0,13,0,0,1,0,179
Appenzell Ausserrhoden,Bezirk Vorderland,Lutzenberg,0,15,1,3,1,0,0,0,18
Appenzell Ausserrhoden,Bezirk Vorderland,Rehetobel,2,8,0,1,0,0,0,0,11
Appenzell Ausserrhoden,Bezirk Vorderland,Reute (AR),0,4,1,0,1,0,0,0,5
Appenzell Ausserrhoden,Bezirk Vorderland,Wald (AR),4,1,0,0,0,0,0,0,8
Appenzell Ausserrhoden,Bezirk Vorderland,Walzenhausen,9,23,1,6,1,0,0,0,35
Appenzell Ausserrhoden,Bezirk Vorderland,Wolfhalden,6,18,1,3,0,0,1,0,34
Appenzell Innerrhoden,Kanton Appenzell Innerrhoden,Appenzell,90,132,1,14,7,3,1,0,297
Appenzell Innerrhoden,Kanton Appenzell Innerrhoden,Gonten,0,3,2,2,0,0,0,0,9
Appenzell Innerrhoden,Kanton Appenzell Innerrhoden,Schlatt-Haslen,1,2,0,0,0,0,0,0,1
Appenzell Innerrhoden,Kanton Appenzell Innerrhoden,Oberegg,2,1,3,2,1,0,0,0,4
Appenzell Innerrhoden,Kanton Appenzell Innerrhoden,Schwende-RÃ¯Â¿Â½te,20,39,4,6,2,0,0,0,58
Basel-Landschaft,Bezirk Arlesheim,Aesch (BL),41,247,5,59,59,1,9,0,590
Basel-Landschaft,Bezirk Arlesheim,Allschwil,213,671,15,149,79,9,19,1,843
Basel-Landschaft,Bezirk Arlesheim,Arlesheim,56,103,10,44,40,0,8,0,275
Basel-Landschaft,Bezirk Arlesheim,Biel-Benken,16,31,1,21,25,1,1,0,75
Basel-Landschaft,Bezirk Arlesheim,Binningen,226,581,13,121,124,10,21,5,636
Basel-Landschaft,Bezirk Arlesheim,Birsfelden,105,356,1,100,28,1,0,0,653
Basel-Landschaft,Bezirk Arlesheim,Bottmingen,81,231,4,63,44,3,6,0,252
Basel-Landschaft,Bezirk Arlesheim,Ettingen,19,95,0,12,23,0,1,0,192
Basel-Landschaft,Bezirk Arlesheim,MÃ¯Â¿Â½nchenstein,275,334,1,68,44,1,9,1,768
Basel-Landschaft,Bezirk Arlesheim,Muttenz,158,368,5,81,60,1,10,2,888
Basel-Landschaft,Bezirk Arlesheim,Oberwil (BL),151,249,5,83,85,1,17,0,537
Basel-Landschaft,Bezirk Arlesheim,Pfeffingen,11,28,0,15,6,0,4,0,43
Basel-Landschaft,Bezirk Arlesheim,Reinach (BL),188,505,7,118,137,1,22,1,1076
Basel-Landschaft,Bezirk Arlesheim,SchÃ¯Â¿Â½nenbuch,1,5,0,5,4,0,1,0,17
Basel-Landschaft,Bezirk Arlesheim,Therwil,52,159,1,36,36,0,6,0,353
Basel-Landschaft,Bezirk Laufen,Blauen,1,2,0,2,2,0,0,0,11
Basel-Landschaft,Bezirk Laufen,Brislach,5,37,0,4,1,0,0,0,42
Basel-Landschaft,Bezirk Laufen,Burg im Leimental,0,1,0,0,0,0,0,0,2
Basel-Landschaft,Bezirk Laufen,Dittingen,1,7,0,6,0,0,0,0,18
Basel-Landschaft,Bezirk Laufen,Duggingen,5,24,0,5,4,0,0,0,55
Basel-Landschaft,Bezirk Laufen,Grellingen,25,36,0,9,6,0,1,0,179
Basel-Landschaft,Bezirk Laufen,Laufen,141,122,1,35,5,3,0,0,329
Basel-Landschaft,Bezirk Laufen,Liesberg,13,7,0,2,1,0,0,0,41
Basel-Landschaft,Bezirk Laufen,Nenzlingen,2,1,0,3,1,0,0,0,8
Basel-Landschaft,Bezirk Laufen,Roggenburg,0,1,1,3,0,0,0,0,0
Basel-Landschaft,Bezirk Laufen,RÃ¯Â¿Â½schenz,3,15,0,0,1,1,0,0,25
Basel-Landschaft,Bezirk Laufen,Wahlen,3,27,0,3,0,0,0,0,39
Basel-Landschaft,Bezirk Laufen,Zwingen,36,47,0,22,5,0,0,0,141
Basel-Landschaft,Bezirk Liestal,Arisdorf,3,10,0,7,5,0,0,0,27
Basel-Landschaft,Bezirk Liestal,Augst,3,17,0,3,2,0,0,0,49
Basel-Landschaft,Bezirk Liestal,Bubendorf,27,70,2,6,4,3,3,1,181
Basel-Landschaft,Bezirk Liestal,Frenkendorf,64,115,0,28,12,0,0,0,683
Basel-Landschaft,Bezirk Liestal,FÃ¯Â¿Â½llinsdorf,60,114,0,14,15,0,1,1,461
Basel-Landschaft,Bezirk Liestal,Giebenach,4,10,0,4,0,0,3,0,53
Basel-Landschaft,Bezirk Liestal,Hersberg,5,0,0,0,1,0,0,0,3
Basel-Landschaft,Bezirk Liestal,Lausen,59,115,0,16,7,3,1,0,482
Basel-Landschaft,Bezirk Liestal,Liestal,176,416,1,69,31,4,3,0,1234
Basel-Landschaft,Bezirk Liestal,Lupsingen,10,12,0,2,6,0,0,0,13
Basel-Landschaft,Bezirk Liestal,Pratteln,182,341,2,105,23,3,3,0,2971
Basel-Landschaft,Bezirk Liestal,Ramlinsburg,1,2,0,1,2,0,0,0,1
Basel-Landschaft,Bezirk Liestal,Seltisberg,4,0,0,2,1,0,0,0,14
Basel-Landschaft,Bezirk Liestal,Ziefen,4,14,0,8,4,0,0,0,17
Basel-Landschaft,Bezirk Sissach,Anwil,0,3,1,0,1,0,0,0,3
Basel-Landschaft,Bezirk Sissach,BÃ¯Â¿Â½ckten,2,7,0,0,0,0,0,0,26
Basel-Landschaft,Bezirk Sissach,Buckten,4,16,0,1,0,0,0,0,30
Basel-Landschaft,Bezirk Sissach,Buus,0,13,0,1,2,0,0,0,7
Basel-Landschaft,Bezirk Sissach,Diepflingen,2,9,0,0,0,0,0,0,20
Basel-Landschaft,Bezirk Sissach,Gelterkinden,75,56,3,15,2,0,0,0,436
Basel-Landschaft,Bezirk Sissach,HÃ¯Â¿Â½felfingen,0,1,0,0,0,0,0,0,2
Basel-Landschaft,Bezirk Sissach,Hemmiken,1,0,0,0,0,0,0,0,0
Basel-Landschaft,Bezirk Sissach,Itingen,25,30,1,3,1,0,0,0,105
Basel-Landschaft,Bezirk Sissach,KÃ¯Â¿Â½nerkinden,0,1,0,1,0,0,0,0,2
Basel-Landschaft,Bezirk Sissach,Kilchberg (BL),0,1,0,0,0,0,0,0,0
Basel-Landschaft,Bezirk Sissach,LÃ¯Â¿Â½ufelfingen,3,7,0,1,0,0,0,0,27
Basel-Landschaft,Bezirk Sissach,Maisprach,3,8,3,2,9,0,0,0,14
Basel-Landschaft,Bezirk Sissach,Nusshof,0,0,0,0,2,0,0,0,0
Basel-Landschaft,Bezirk Sissach,Oltingen,0,1,0,0,0,0,0,0,4
Basel-Landschaft,Bezirk Sissach,Ormalingen,0,15,0,4,0,0,0,0,51
Basel-Landschaft,Bezirk Sissach,Rickenbach (BL),1,1,0,2,1,1,0,0,10
Basel-Landschaft,Bezirk Sissach,Rothenfluh,10,1,0,2,1,0,0,0,6
Basel-Landschaft,Bezirk Sissach,RÃ¯Â¿Â½mlingen,10,7,0,0,0,3,0,0,26
Basel-Landschaft,Bezirk Sissach,RÃ¯Â¿Â½nenberg,0,3,0,0,0,0,0,0,13
Basel-Landschaft,Bezirk Sissach,Sissach,31,51,4,20,9,0,1,0,337
Basel-Landschaft,Bezirk Sissach,Tecknau,33,12,0,5,0,0,1,0,126
Basel-Landschaft,Bezirk Sissach,Tenniken,0,5,0,5,0,0,0,0,28
Basel-Landschaft,Bezirk Sissach,ThÃ¯Â¿Â½rnen,2,16,0,5,0,0,0,0,107
Basel-Landschaft,Bezirk Sissach,Wenslingen,1,1,0,0,1,0,0,0,6
Basel-Landschaft,Bezirk Sissach,Wintersingen,0,1,0,0,0,0,0,0,11
Basel-Landschaft,Bezirk Sissach,Wittinsburg,0,0,0,0,0,0,0,0,5
Basel-Landschaft,Bezirk Sissach,Zeglingen,1,1,0,0,0,0,0,0,13
Basel-Landschaft,Bezirk Sissach,Zunzgen,9,26,0,3,2,0,1,0,195
Basel-Landschaft,Bezirk Waldenburg,Arboldswil,0,0,0,0,0,0,0,0,6
Basel-Landschaft,Bezirk Waldenburg,Bennwil,1,1,0,0,0,0,0,0,2
Basel-Landschaft,Bezirk Waldenburg,Bretzwil,0,0,0,1,0,0,0,0,11
Basel-Landschaft,Bezirk Waldenburg,Diegten,3,9,0,2,1,0,0,0,32
Basel-Landschaft,Bezirk Waldenburg,Eptingen,0,3,0,0,0,0,0,0,2
Basel-Landschaft,Bezirk Waldenburg,HÃ¯Â¿Â½lstein,17,58,0,1,1,0,0,0,110
Basel-Landschaft,Bezirk Waldenburg,Lampenberg,0,1,0,1,2,0,0,0,4
Basel-Landschaft,Bezirk Waldenburg,Langenbruck,2,1,0,0,1,0,0,0,27
Basel-Landschaft,Bezirk Waldenburg,Lauwil,2,1,0,2,0,0,0,0,1
Basel-Landschaft,Bezirk Waldenburg,Liedertswil,0,0,0,0,0,0,0,0,10
Basel-Landschaft,Bezirk Waldenburg,Niederdorf,18,44,0,5,1,1,0,0,149
Basel-Landschaft,Bezirk Waldenburg,Oberdorf (BL),17,44,1,6,3,0,1,0,172
Basel-Landschaft,Bezirk Waldenburg,Reigoldswil,15,13,0,4,0,0,1,0,29
